Code,Description,Last_updated
200017,Neoplasm of endocervix,09-21-2025
201018,Neoplasm of exocervix,09-21-2025
202013,Neoplasm of fundus uteri,09-21-2025
203015,Neoplasm of uterine adnexa,09-21-2025
204014,Neoplasm of fallopian tube,09-21-2025
205010,Neoplasm of broad ligament,09-21-2025
206011,Neoplasm of parametrium,09-21-2025
207019,Neoplasm of round ligament of uterus,09-21-2025
208012,Neoplasm of placenta,09-21-2025
209016,Neoplasm of vagina,09-21-2025
210014,Neoplasm of vulva,09-21-2025
211013,Neoplasm of labia majora,09-21-2025
212018,Neoplasm of labia minora,09-21-2025
213011,Neoplasm of clitoris,09-21-2025
214017,Neoplasm of breast,09-21-2025
215016,Neoplasm of female breast,09-21-2025
216015,Neoplasm of nipple of female breast,09-21-2025
217012,Neoplasm of areola of female breast,09-21-2025
218019,Neoplasm of central portion of female breast,09-21-2025
219010,Neoplasm of upper inner quadrant of female breast,09-21-2025
220016,Neoplasm of lower inner quadrant of female breast,09-21-2025
221017,Neoplasm of upper outer quadrant of female breast,09-21-2025
222012,Neoplasm of lower outer quadrant of female breast,09-21-2025
223019,Neoplasm of axillary tail of female breast,09-21-2025
224013,Neoplasm of ectopic female breast tissue,09-21-2025
225014,Neoplasm of male breast,09-21-2025
226010,Neoplasm of nipple of male breast,09-21-2025
227018,Neoplasm of areola of male breast,09-21-2025
228011,Neoplasm of ectopic male breast tissue,09-21-2025
229015,Subdural hemorrhage due to birth trauma,09-21-2025
231012,Separation anxiety,09-21-2025
232017,Hypoxic-ischemic brain injury,09-21-2025
233010,Perinatal anoxic-ischemic brain injury,09-21-2025
234016,Excessive cerumen in ear canal,09-21-2025
235015,Cerebellopontine angle tumor,09-21-2025
236019,Cerebellopontine angle meningioma,09-21-2025
237011,Acoustic neuroma,09-21-2025
238018,Neoplasm of nervous system,09-21-2025
239014,Neoplasm of central nervous system,09-21-2025
240011,Neoplasm of brain,09-21-2025
241010,Neoplasm of cerebrum,09-21-2025
242015,Neoplasm of frontal lobe,09-21-2025
243013,Neoplasm of temporal lobe,09-21-2025
244019,Neoplasm of parietal lobe,09-21-2025
245018,Neoplasm of occipital lobe,09-21-2025
246017,Neoplasm of cerebral ventricle,09-21-2025
247014,Neoplasm of cerebral meninges,09-21-2025
248016,Neoplasm of cerebellum,09-21-2025
249012,Neoplasm of brain stem,09-21-2025
250012,Neoplasm of spinal cord,09-21-2025
251011,Neoplasm of cauda equina,09-21-2025
252016,Neoplasm of spinal meninges,09-21-2025
253014,Neoplasm of meninges,09-21-2025
254015,Neoplasm of cranial nerve,09-21-2025
255019,Neoplasm of olfactory nerve,09-21-2025
256018,Neoplasm of optic nerve,09-21-2025
257010,Neoplasm of oculomotor nerve,09-21-2025
258017,Neoplasm of trochlear nerve,09-21-2025
259013,Neoplasm of trigeminal nerve,09-21-2025
260015,Neoplasm of abducens nerve,09-21-2025
261016,Neoplasm of facial nerve,09-21-2025
262011,Neoplasm of acoustic nerve,09-21-2025
263018,Neoplasm of glossopharyngeal nerve,09-21-2025
264012,Neoplasm of vagus nerve,09-21-2025
265013,Neoplasm of accessory nerve,09-21-2025
266014,Neoplasm of hypoglossal nerve,09-21-2025
267017,Neoplasm of autonomic nerve,09-21-2025
268010,Neoplasm of peripheral nerve,09-21-2025
269019,Neoplasm of peripheral nerve of head AND/OR neck,09-21-2025
270018,Neoplasm of peripheral nerves of head,09-21-2025
271019,Neoplasm of peripheral nerves of face,09-21-2025
272014,Neoplasm of peripheral nerves of neck,09-21-2025
274010,Neoplasm of peripheral nerves of upper limb,09-21-2025
275011,Neoplasm of peripheral nerves of shoulder,09-21-2025
277015,Neoplasm of peripheral nerves of lower limb,09-21-2025
278013,Neoplasm of peripheral nerves of hip,09-21-2025
279017,Neoplasm of peripheral nerves of thorax,09-21-2025
280019,Neoplasm of peripheral nerves of abdomen,09-21-2025
281015,Neoplasm of peripheral nerves of pelvis,09-21-2025
282010,Neoplasm of peripheral nerves of trunk,09-21-2025
283017,Neoplasm of eye,09-21-2025
284011,Neoplasm of conjunctiva,09-21-2025
285012,Neoplasm of cornea,09-21-2025
286013,Neoplasm of ciliary body,09-21-2025
287016,Neoplasm of sclera,09-21-2025
288014,Neoplasm of uveal tract,09-21-2025
289018,Neoplasm of choroid,09-21-2025
290010,Neoplasm of retina,09-21-2025
291014,Neoplasm of orbit,09-21-2025
292019,Neoplasm of lacrimal gland,09-21-2025
293012,Neoplasm of lacrimal duct,09-21-2025
294018,Neoplasm of middle ear,09-21-2025
296016,Neoplasm of mastoid air cells,09-21-2025
297013,Disorder of endocrine receptor,09-21-2025
299011,Diabetic sensory polyneuropathy,09-21-2025
300015,Lipoatrophic diabetes,09-21-2025
301016,Diabetic renal disease,09-21-2025
302011,Diabetic peripheral angiopathy,09-21-2025
303018,Neoplasm of endocrine gland,09-21-2025
304012,Neoplasm of multiple endocrine glands,09-21-2025
306014,Neoplasm of thyroid gland,09-21-2025
307017,Neoplasm of thyroglossal duct,09-21-2025
308010,Neoplasm of parathyroid gland,09-21-2025
309019,Neoplasm of adrenal gland,09-21-2025
310012,Neoplasm of adrenal cortex,09-21-2025
311011,Neoplasm of adrenal medulla,09-21-2025
312016,Neoplasm of pituitary gland,09-21-2025
313014,Neoplasm of craniopharyngeal duct,09-21-2025
314015,Neoplasm of pineal gland,09-21-2025
315019,Neoplasm of paraganglion,09-21-2025
316018,Neoplasm of carotid body,09-21-2025
317010,Neoplasm of aortic body,09-21-2025
318017,Neoplasm of glomus jugulare,09-21-2025
319013,Neoplasm of para-aortic body,09-21-2025
320019,Neoplasm of coccygeal body,09-21-2025
321015,Abnormally increased cellular element of blood,09-21-2025
322010,Pancytopenia,09-21-2025
323017,Bone marrow disorder,09-21-2025
324011,Cytochrome b>3< deficiency,09-21-2025
325012,Toxic methemoglobinemia with cyanosis,09-21-2025
326013,Hereditary hemoglobinopathy due to globin chain mutation,09-21-2025
327016,Acquired hemoglobinopathy,09-21-2025
328014,Sickle cell anemia,09-21-2025
329018,Sickle cell-beta-thalassemia,09-21-2025
330011,Sickle cell-beta^+^-thalassemia,09-21-2025
331010,Sickle cell-beta^0^-thalassemia,09-21-2025
332015,Sickle cell-delta beta^0^-thalassemia,09-21-2025
333013,Sickle cell anemia with coexistent alpha-thalassemia,09-21-2025
334019,Sickle cell trait with coexistent alpha-thalassemia,09-21-2025
335018,Sickle cell-hemoglobin Lepore disease,09-21-2025
336017,Sickle cell-Hemoglobin O Arab disease,09-21-2025
337014,Primary (idiopathic) autoimmune hemolytic anemia,09-21-2025
338016,Secondary autoimmune hemolytic anemia,09-21-2025
339012,Primary (idiopathic) warm autoimmune hemolytic anemia,09-21-2025
340014,Secondary warm autoimmune hemolytic anemia,09-21-2025
341013,Post-infectious cold agglutinin disease,09-21-2025
342018,Cold agglutinin disease due to Epstein-Barr virus infection,09-21-2025
343011,Chronic cold agglutinin disease,09-21-2025
344017,Chronic cold agglutinin disease associated with B-cell neoplasm,09-21-2025
345016,Paroxysmal cold hemoglobinuria,09-21-2025
346015,Paroxysmal cold hemoglobinuria associated with tertiary syphilis,09-21-2025
347012,Drug-induced immune hemolytic anemia,09-21-2025
348019,"Drug-induced immune hemolytic anemia, hapten type",09-21-2025
349010,"Autoimmune hemolytic anemia, categorized by antibody class AND/OR complement",09-21-2025
350010,Erythrocytosis,09-21-2025
351014,Erythrocytosis due to cyanotic congenital heart disease,09-21-2025
352019,Chronic carbon monoxide intoxication,09-21-2025
353012,Familial erythrocytosis due to diphosphoglycerate mutase deficiency,09-21-2025
354018,Familial polycythemia vera,09-21-2025
355017,Stress neutrophilia,09-21-2025
356016,Histiocytic syndrome,09-21-2025
357013,Hemophagocytic syndrome,09-21-2025
358015,Malignant histiocytic disorder,09-21-2025
359011,Immunoproliferative disorder,09-21-2025
360018,Allergic disorder,09-21-2025
361019,Disorder of hemostasis,09-21-2025
362014,Superficial lymphadenopathy,09-21-2025
363016,Deep lymphadenopathy,09-21-2025
364010,Occipital lymphadenopathy,09-21-2025
365011,Posterior auricular lymphadenopathy,09-21-2025
366012,Anterior auricular lymphadenopathy,09-21-2025
367015,Inferior auricular lymphadenopathy,09-21-2025
368013,Parotid lymphadenopathy,09-21-2025
369017,Facial lymphadenopathy,09-21-2025
370016,Submandibular lymphadenopathy,09-21-2025
371017,Submental lymphadenopathy,09-21-2025
372012,Mandibular lymphadenopathy,09-21-2025
373019,Submaxillary lymphadenopathy,09-21-2025
374013,Cervical lymphadenopathy,09-21-2025
375014,Lateral cervical lymphadenopathy,09-21-2025
376010,Supraclavicular lymphadenopathy,09-21-2025
377018,Jugular lymphadenopathy,09-21-2025
378011,Anterior cervical lymphadenopathy,09-21-2025
379015,Retropharyngeal lymphadenopathy,09-21-2025
380017,Prelaryngeal lymphadenopathy,09-21-2025
381018,Delphian lymphadenopathy,09-21-2025
382013,Pretracheal lymphadenopathy,09-21-2025
383015,Infraclavicular lymphadenopathy,09-21-2025
384014,Scalene lymphadenopathy,09-21-2025
385010,Thoracic lymphadenopathy,09-21-2025
386011,Prevertebral lymphadenopathy,09-21-2025
387019,Prepericardial lymphadenopathy,09-21-2025
388012,Lateral pericardial lymphadenopathy,09-21-2025
389016,Pulmonary lymphadenopathy,09-21-2025
390013,Bronchopulmonary lymphadenopathy,09-21-2025
391012,Tracheobronchial lymphadenopathy,09-21-2025
392017,Superior tracheobronchial lymphadenopathy,09-21-2025
393010,Inferior tracheobronchial lymphadenopathy,09-21-2025
394016,Tracheal lymphadenopathy,09-21-2025
395015,Parasternal lymphadenopathy,09-21-2025
396019,Supramammary lymphadenopathy,09-21-2025
397011,Anterior mediastinal lymphadenopathy,09-21-2025
398018,Posterior mediastinal lymphadenopathy,09-21-2025
399014,Esophageal lymphadenopathy,09-21-2025
400019,Intercostal lymphadenopathy,09-21-2025
401015,Diaphragmatic lymphadenopathy,09-21-2025
402010,Innominate lymphadenopathy,09-21-2025
403017,Abdominal lymphadenopathy,09-21-2025
404011,Gut-associated lymphadenopathy,09-21-2025
405012,Celiac lymphadenopathy,09-21-2025
406013,Superior mesenteric lymphadenopathy,09-21-2025
407016,Juxtaintestinal lymphadenopathy,09-21-2025
408014,Hepatic lymphadenopathy,09-21-2025
409018,Cystic lymphadenopathy,09-21-2025
410011,Lymphadenopathy of epiploic foramen,09-21-2025
411010,Left gastric lymphadenopathy,09-21-2025
412015,Lymphadenopathy of lesser curvature of stomach,09-21-2025
413013,Lymphadenopathy of greater curvature of stomach,09-21-2025
414019,Lymphadenopathy of lymph node ring of cardia of stomach,09-21-2025
415018,Gastro-omental lymphadenopathy,09-21-2025
416017,Pyloric lymphadenopathy,09-21-2025
417014,Suprapyloric lymphadenopathy,09-21-2025
418016,Subpyloric lymphadenopathy,09-21-2025
419012,Retropyloric lymphadenopathy,09-21-2025
420018,Pancreaticosplenic lymphadenopathy,09-21-2025
421019,Splenic lymphadenopathy,09-21-2025
422014,Pancreatic lymphadenopathy,09-21-2025
423016,Pancreaticoduodenal lymphadenopathy,09-21-2025
424010,Inferior pancreaticoduodenal lymphadenopathy,09-21-2025
425011,Superior pancreaticoduodenal lymphadenopathy,09-21-2025
426012,Inferior pancreatic lymphadenopathy,09-21-2025
427015,Superior pancreatic lymphadenopathy,09-21-2025
428013,Aortic lymphadenopathy,09-21-2025
429017,Renal hilar lymphadenopathy,09-21-2025
430010,Lumbar lymphadenopathy,09-21-2025
431014,Intestinal lymphadenopathy,09-21-2025
432019,Mesenteric lymphadenopathy,09-21-2025
433012,Inferior mesenteric lymphadenopathy,09-21-2025
434018,Sigmoid lymphadenopathy,09-21-2025
435017,Superior rectal lymphadenopathy,09-21-2025
436016,Ileocolic lymphadenopathy,09-21-2025
437013,Right colic lymphadenopathy,09-21-2025
438015,Midcolic lymphadenopathy,09-21-2025
439011,Left colic lymphadenopathy,09-21-2025
440013,Colic lymphadenopathy,09-21-2025
441012,Common duct lymphadenopathy,09-21-2025
442017,Retroperitoneal lymphadenopathy,09-21-2025
443010,Prececal lymphadenopathy,09-21-2025
444016,Retrocecal lymphadenopathy,09-21-2025
445015,Appendicular lymphadenopathy,09-21-2025
446019,Pelvic lymphadenopathy,09-21-2025
447011,Iliac lymphadenopathy,09-21-2025
448018,Medial common iliac lymphadenopathy,09-21-2025
449014,Intermediate common iliac lymphadenopathy,09-21-2025
450014,Lateral common iliac lymphadenopathy,09-21-2025
451013,Subaortic common iliac lymphadenopathy,09-21-2025
452018,Promontory lymphadenopathy,09-21-2025
453011,Subiliac lymphadenopathy,09-21-2025
454017,External iliac lymphadenopathy,09-21-2025
455016,Medial external iliac lymphadenopathy,09-21-2025
456015,Intermediate external iliac lymphadenopathy,09-21-2025
457012,Lateral external iliac lymphadenopathy,09-21-2025
458019,Medial lacunar lymphadenopathy,09-21-2025
459010,Interiliac lymphadenopathy,09-21-2025
460017,Obturator lymphadenopathy,09-21-2025
461018,Hypogastric lymphadenopathy,09-21-2025
462013,Gluteal lymphadenopathy,09-21-2025
463015,Inferior gluteal lymphadenopathy,09-21-2025
464014,Superior gluteal lymphadenopathy,09-21-2025
465010,Sacral lymphadenopathy,09-21-2025
466011,Parametrial lymphadenopathy,09-21-2025
467019,Epigastric lymphadenopathy,09-21-2025
468012,Presymphysial lymphadenopathy,09-21-2025
469016,Uterine paracervical lymphadenopathy,09-21-2025
470015,Paravesicular lymphadenopathy,09-21-2025
471016,Prevesicular lymphadenopathy,09-21-2025
472011,Postvesicular lymphadenopathy,09-21-2025
473018,Lateral vesicular lymphadenopathy,09-21-2025
474012,Paravaginal lymphadenopathy,09-21-2025
475013,Pararectal lymphadenopathy,09-21-2025
476014,Upper extremity lymphadenopathy,09-21-2025
477017,Axillary lymphadenopathy,09-21-2025
478010,Lateral axillary lymphadenopathy,09-21-2025
479019,Central axillary lymphadenopathy,09-21-2025
480016,Apical axillary lymphadenopathy,09-21-2025
481017,Pectoral axillary lymphadenopathy,09-21-2025
482012,Subscapular axillary lymphadenopathy,09-21-2025
483019,Paramammary lymphadenopathy,09-21-2025
484013,Cubital lymphadenopathy,09-21-2025
485014,Epitrochlear lymphadenopathy,09-21-2025
486010,Lower extremity lymphadenopathy,09-21-2025
487018,Inguinal lymphadenopathy,09-21-2025
488011,Deep inguinal lymphadenopathy,09-21-2025
489015,Prefemoral lymphadenopathy,09-21-2025
490012,Superficial inguinal lymphadenopathy,09-21-2025
491011,Superior medial inguinal lymphadenopathy,09-21-2025
492016,Superior lateral inguinal lymphadenopathy,09-21-2025
493014,Inferior inguinal lymphadenopathy,09-21-2025
494015,Popliteal lymphadenopathy,09-21-2025
495019,Deep popliteal lymphadenopathy,09-21-2025
496018,Superficial popliteal lymphadenopathy,09-21-2025
497010,Tibial lymphadenopathy,09-21-2025
498017,Posterior tibial lymphadenopathy,09-21-2025
499013,Anterior tibial lymphadenopathy,09-21-2025
500016,Fibular lymphadenopathy,09-21-2025
501017,"Angiofollicular lymph node hyperplasia, hyaline-vascular type",09-21-2025
502012,"Angiofollicular lymph node hyperplasia, plasma cell type",09-21-2025
503019,Progressively transformed germinal centers,09-21-2025
504013,Angioimmunoblastic lymphadenopathy with dysproteinemia,09-21-2025
505014,Histiocytic necrotizing lymphadenitis,09-21-2025
506010,Reactive follicular hyperplasia in the elderly,09-21-2025
507018,Post-transplantation lymphoproliferative syndrome,09-21-2025
508011,Malignant lymphoma of lymph nodes,09-21-2025
509015,Hematologic malignancy,09-21-2025
510013,"Acute myeloid leukemia, minimal differentiation, FAB M0",09-21-2025
511012,"Acute myeloid leukemia without maturation, FAB M1",09-21-2025
512017,"Acute myeloid leukemia with maturation, FAB M2",09-21-2025
513010,Chronic myelomonocytic leukemia,09-21-2025
514016,Neoplasm of Waldeyer's ring,09-21-2025
515015,Neoplasm of tonsil,09-21-2025
516019,Neoplasm of adenoid,09-21-2025
517011,Neoplasm of lingual tonsil,09-21-2025
518018,Neoplasm of spleen,09-21-2025
519014,Neoplasm of thymus,09-21-2025
520015,Neoplasm of lymph node,09-21-2025
521016,Neoplasm of lymph nodes of head,09-21-2025
522011,Neoplasm of lymph nodes of face,09-21-2025
523018,Neoplasm of lymph nodes of neck,09-21-2025
524012,Neoplasm of occipital lymph nodes,09-21-2025
525013,Neoplasm of parotid lymph nodes,09-21-2025
526014,Neoplasm of preauricular lymph nodes,09-21-2025
527017,Neoplasm of submandibular lymph nodes,09-21-2025
528010,Neoplasm of submental lymph nodes,09-21-2025
529019,Neoplasm of supraclavicular lymph nodes,09-21-2025
530012,Neoplasm of retropharyngeal lymph nodes,09-21-2025
531011,Neoplasm of infraclavicular lymph nodes,09-21-2025
532016,Neoplasm of scalene lymph nodes,09-21-2025
533014,Neoplasm of intrathoracic lymph nodes,09-21-2025
534015,Neoplasm of bronchopulmonary lymph nodes,09-21-2025
535019,Neoplasm of tracheobronchial lymph nodes,09-21-2025
536018,Neoplasm of mediastinal lymph nodes,09-21-2025
537010,Neoplasm of intercostal lymph nodes,09-21-2025
538017,Neoplasm of intra-abdominal lymph nodes,09-21-2025
539013,Neoplasm of intestinal lymph nodes,09-21-2025
540010,Neoplasm of mesenteric lymph nodes,09-21-2025
541014,Neoplasm of retroperitoneal lymph nodes,09-21-2025
542019,Neoplasm of lymph nodes of upper limb,09-21-2025
543012,Neoplasm of axillary lymph nodes,09-21-2025
544018,Neoplasm of lateral axillary lymph nodes,09-21-2025
545017,Neoplasm of pectoral axillary lymph nodes,09-21-2025
546016,Neoplasm of paramammary lymph nodes,09-21-2025
547013,Neoplasm of cubital lymph nodes,09-21-2025
548015,Neoplasm of epitrochlear lymph nodes,09-21-2025
549011,Neoplasm of lymph nodes of lower limb,09-21-2025
550011,Neoplasm of inguinal lymph nodes,09-21-2025
551010,Neoplasm of superficial inguinal lymph nodes,09-21-2025
552015,Neoplasm of femoral lymph nodes,09-21-2025
553013,Neoplasm of popliteal lymph nodes,09-21-2025
554019,Neoplasm of tibial lymph nodes,09-21-2025
555018,Neoplasm of intrapelvic lymph nodes,09-21-2025
556017,Neoplasm of iliac lymph nodes,09-21-2025
557014,Neoplasm of obturator lymph nodes,09-21-2025
558016,Neoplasm of hypogastric lymph nodes,09-21-2025
559012,Neoplasm of parametrial lymph nodes,09-21-2025
560019,Neoplasm of paravaginal lymph nodes,09-21-2025
561015,Neoplasm of pararectal lymph nodes,09-21-2025
562010,Neoplasm of lymph nodes of multiple sites,09-21-2025
563017,Injury of respiratory system,09-21-2025
564011,Injury of head with rhinorrhagia,09-21-2025
565012,Injury of female genital system,09-21-2025
566013,Injury of upper extremity,09-21-2025
567016,Injury of lower extremity,09-21-2025
568014,Fracture of basilar portion of occipital bone,09-21-2025
569018,Fracture of occipital condyle,09-21-2025
570017,Fracture of clivus of occipital bone,09-21-2025
571018,Fracture of ethmoid bone,09-21-2025
572013,Fracture of orbital plate of ethmoid bone,09-21-2025
573015,Fracture of lacrimal bone,09-21-2025
574014,Fracture of upper end of humerus,09-21-2025
575010,Intertrochanteric fracture,09-21-2025
576011,Closed medial dislocation of subtalar joint,09-21-2025
577019,Closed lateral dislocation of subtalar joint,09-21-2025
578012,Open medial dislocation of subtalar joint,09-21-2025
579016,Open lateral dislocation of subtalar joint,09-21-2025
580018,Sprain of anterior cruciate ligament of knee,09-21-2025
581019,Sprain of posterior cruciate ligament of knee,09-21-2025
582014,Brain injury,09-21-2025
583016,Traumatic brain injury,09-21-2025
584010,Intracranial injury,09-21-2025
585011,Intracranial injury with loss of consciousness,09-21-2025
586012,Traumatic brain injury with loss of consciousness,09-21-2025
587015,Traumatic brain injury with brief loss of consciousness,09-21-2025
588013,Traumatic brain injury with moderate loss of consciousness,09-21-2025
589017,Traumatic brain injury with prolonged loss of consciousness,09-21-2025
590014,Traumatic brain injury with no loss of consciousness,09-21-2025
591013,Cortex laceration,09-21-2025
592018,Cerebellar contusion,09-21-2025
593011,Brain stem contusion,09-21-2025
594017,Cerebellar laceration,09-21-2025
595016,Brain stem laceration,09-21-2025
596015,Intracranial hemorrhage following injury with loss of consciousness,09-21-2025
597012,Intracranial hemorrhage following injury with brief loss of consciousness,09-21-2025
598019,Intracranial hemorrhage following injury with moderate loss of consciousness,09-21-2025
599010,Intracranial hemorrhage following injury with prolonged loss of consciousness AND return to pre-existing conscious level,09-21-2025
600013,Intracranial hemorrhage following injury with prolonged loss of consciousness without return to pre-existing conscious level,09-21-2025
601012,Injury of bile duct,09-21-2025
602017,Open wound of chest wall,09-21-2025
603010,Sucking chest wound,09-21-2025
604016,Injury of right colic artery,09-21-2025
605015,Injury of middle colic artery,09-21-2025
606019,Injury of inferior pancreaticoduodenal artery,09-21-2025
607011,Anemia due to alloimmune destruction of transfused red cells,09-21-2025
608018,Poisoning by arthropod bite,09-21-2025
609014,Acute digestive system disorder,09-21-2025
610016,Intestinal infection,09-21-2025
612012,Myoclonic disorder,09-21-2025
613019,Procedure related finding,09-21-2025
614013,Non-human disorder,09-21-2025
616010,Congenital absence of skeletal bone,09-21-2025
617018,Congenital anomaly of visual system,09-21-2025
619015,Neoplasm by body site,09-21-2025
620014,Fetal neoplasm,09-21-2025
622018,Acute skin disorder,09-21-2025
623011,Acute disorder of female genital organ,09-21-2025
624017,Acute disease of bone,09-21-2025
625016,Acute heart disease,09-21-2025
626015,Disease of skin AND/OR subcutaneous tissue of flank,09-21-2025
627012,Acute metabolic disorder,09-21-2025
628019,Acute genitourinary disorder,09-21-2025
629010,Acute nervous system disorder,09-21-2025
630017,Acute disorder of male genital organ,09-21-2025
631018,Acute disease of eye,09-21-2025
632013,Acute disorder of ear,09-21-2025
633015,Disorder of endocrine gonad,09-21-2025
635010,Industrial trauma,09-21-2025
636011,Motor vehicle accident (victim),09-21-2025
637019,"Motor vehicle accident, driver",09-21-2025
638012,"Motor vehicle accident, passenger",09-21-2025
639016,Increased choline,09-21-2025
640019,Decreased choline,09-21-2025
641015,Abnormal structure of albumin,09-21-2025
642010,Increased albumin,09-21-2025
643017,Decreased albumin,09-21-2025
644011,Decreased vitamin E,09-21-2025
645012,Finding related to physiologic substance,09-21-2025
648014,Abnormal quantity of physiologic substance,09-21-2025
649018,Ovulation finding,09-21-2025
650018,Previous pregnancies (finding),09-21-2025
651019,"Number of pregnancies, currently pregnant",09-21-2025
652014,Primigravida,09-21-2025
653016,Gravida 2,09-21-2025
654010,Gravida 3,09-21-2025
655011,Gravida 4,09-21-2025
656012,Gravida 5,09-21-2025
657015,Gravida 6,09-21-2025
658013,Gravida 7,09-21-2025
659017,Gravida 8,09-21-2025
660010,Gravida 9,09-21-2025
661014,Gravida 10,09-21-2025
662019,Gravida more than 10,09-21-2025
663012,Cervical dilatation finding,09-21-2025
664018,Cervical effacement finding,09-21-2025
665017,Unilateral paresis,09-21-2025
666016,Bilateral paresis,09-21-2025
667013,Loss of consciousness,09-21-2025
668015,Vasovagal syncope,09-21-2025
669011,Sodium estrone sulfate,09-21-2025
670012,Cortisone acetate,09-21-2025
671011,Human calcitonin,09-21-2025
672016,Salmon calcitonin,09-21-2025
673014,beta Carotene,09-21-2025
674015,Exogenous antigen-circulating antibody reaction,09-21-2025
