,HCPC,SEQNUM,RECID,LONG DESCRIPTION,SHORT DESCRIPTION,PRICE1,PRICE2,PRICE3,PRICE4,MULT_PI,CIM1,CIM2,CIM3,MCM1,MCM2,MCM3,STATUTE,LABCERT1,LABCERT2,LABCERT3,LABCERT4,LABCERT5,LABCERT6,LABCERT7,LABCERT8,XREF1,XREF2,XREF3,XREF4,XREF5,COV,ASC_GRP,ASC_DT,OPPS,OPPS_PI,OPPS_DT,PROCNOTE,BETOS,TOS1,TOS2,TOS3,TOS4,TOS5,ANEST_BU,ADD DT,ACT EFF DT,TERM DT,ACTION CD
10,   AB,10,7,"Audiology service furnished personally by an audiologist without a physician/npp order for non-acute hearing assessment unrelated to disequilibrium, or hearing aids, or examinations for the purpose of prescribing, fitting, or changing hearing aids; service may be performed once every 12 months, per beneficiary",Aud svs w/o order evry 12mo,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,20230101,20230101.0,,N
11,   AD,10,7,Medical supervision by a physician: more than four concurrent anesthesia procedures,"Md supervision, >4 anes proc",,,,,,,,,3350.5,,,,,,,,,,,,,,,,,D,,,,,,,,,,,,,,19840101,20010101.0,,N
12,   AE,10,7,Registered dietician,Registered dietician,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,20050101,20050101.0,,N
13,   AF,10,7,Specialty physician,Specialty physician,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,20050101,20050101.0,,N
14,   AG,10,7,Primary physician,Primary physician,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,20050101,20050101.0,,N
15,   AH,10,7,Clinical psychologist,Clinical psychologist,,,,,,,,,2150,5112,,,,,,,,,,,,,,,,D,,,,,,,,,,,,,,19910101,19970101.0,,N
16,   AI,10,7,Principal physician of record,Principal physician of rec,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,20100101,20100101.0,,N
17,   AJ,10,7,Clinical social worker,Clinical social worker,,,,,,,,,2152,5113,,,,,,,,,,,,,,,,D,,,,,,,,,,,,,,19910101,19970101.0,,N
18,   AK,10,7,Non participating physician,Non participating physician,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,20050101,20050101.0,,N
19,   AM,10,7,"Physician, team member service","Physician, team member svc",,,,,,,,,4105.7,,,,,,,,,,,,QM,,,,,D,,,,,,69.0,,,,,,,,19910101,19970101.0,,N
20,   AO,10,7,Alternate payment method declined by provider of service,Prov declined alt pmt method,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,20131001,20131001.0,,N
21,   AP,10,7,Determination of refractive state was not performed in the course of diagnostic ophthalmological examination,No dtmn of refractive state,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,19840101,19970101.0,,N
22,   AQ,10,7,Physician providing a service in an unlisted health professional shortage area (hpsa),Physician service hpsa area,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,20060101,20060101.0,,N
23,   AR,10,7,Physician provider services in a physician scarcity area,Physician scarcity area,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,20050101,20050101.0,,N
24,   AS,10,7,"Physician assistant, nurse practitioner, or clinical nurse specialist services for assistant at surgery",Assistant at surgery service,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,69.0,,,,,,,,19880101,19990101.0,,N
25,   AT,10,7,"Acute treatment (this modifier should be used when reporting service 98940, 98941, 98942)",Acute treatment,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,19840101,19980101.0,,N
26,   AU,10,7,"Item furnished in conjunction with a urological, ostomy, or tracheostomy supply","Uro, ostomy or trach item",,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,20030101,20030101.0,,N
27,   AV,10,7,"Item furnished in conjunction with a prosthetic device, prosthetic or orthotic",Item w prosthetic/orthotic,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,20030101,20030101.0,,N
28,   AW,10,7,Item furnished in conjunction with a surgical dressing,Item w a surgical dressing,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,20030101,20030101.0,,N
29,   AX,10,7,Item furnished in conjunction with dialysis services,Item w dialysis services,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,20030101,20030101.0,,N
30,   AY,10,7,Item or service furnished to an esrd patient that is not for the treatment of esrd,Item/service not for esrd tx,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,20110101,20110101.0,,N
31,   AZ,10,7,Physician providing a service in a dental health professional shortage area for the purpose of an electronic health record incentive payment,Physician serv in dent hpsa,,,,,,,,,,,,,,,,,,,,,,,,,,I,,,,,,,,,,,,,,20110101,20110101.0,,N
32,   BA,10,7,Item furnished in conjunction with parenteral enteral nutrition (pen) services,Item w pen services,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,20030101,20030101.0,,N
33,   BL,10,7,Special acquisition of blood and blood products,Spec acquisition blood prods,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,20050701,20050701.0,,N
34,   BO,10,7,"Orally administered nutrition, not by feeding tube",Nutrition oral admin no tube,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,20030101,20030101.0,,N
35,   BP,10,7,The beneficiary has been informed of the purchase and rental options and has elected to purchase the item,Bene electd to purchase item,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,19920101,19970101.0,,N
36,   BR,10,7,The beneficiary has been informed of the purchase and rental options and has elected to rent the item,Bene elected to rent item,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,19920101,19970101.0,,N
37,   BU,10,7,The beneficiary has been informed of the purchase and rental options and after 30 days has not informed the supplier of his/her decision,Bene undecided on purch/rent,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,19920101,19970101.0,,N
38,   CA,10,7,Procedure payable only in the inpatient setting when performed emergently on an outpatient who expires prior to admission,Procedure payable inpatient,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,20030101,20030101.0,,N
39,   CB,10,7,"Service ordered by a renal dialysis facility (rdf) physician as part of the esrd beneficiary's dialysis benefit, is not part of the composite rate, and is separately reimbursable",Esrd bene part a snf-sep pay,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,20030401,20040101.0,,N
40,   CC,10,7,Procedure code change (use 'cc' when the procedure code submitted was changed either for administrative reasons or because an incorrect code was filed),Procedure code change,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,19900101,19970101.0,,N
41,   CD,10,7,Amcc test has been ordered by an esrd facility or mcp physician that is part of the composite rate and is not separately billable,Amcc test for esrd or mcp md,,,,,,,,,4270.2,,,,,,,,,,,,,,,,,D,,,,,,,,,,,,,,20040101,20040101.0,,N
42,   CE,10,7,Amcc test has been ordered by an esrd facility or mcp physician that is a composite rate test but is beyond the normal frequency covered under the rate and is separately reimbursable based on medical necessity,Med neces amcc tst sep reimb,,,,,,,,,4270.2,,,,,,,,,,,,,,,,,D,,,,,,,,,,,,,,20040101,20040101.0,,N
43,   CF,10,7,Amcc test has been ordered by an esrd facility or mcp physician that is not part of the composite rate and is separately billable,Amcc tst not composite rate,,,,,,,,,4270.2,,,,,,,,,,,,,,,,,D,,,,,,,,,,,,,,20040101,20040101.0,,N
44,   CG,10,7,Policy criteria applied,Policy criteria applied,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,20080701,20080701.0,,N
45,   CH,10,7,"0 percent impaired, limited or restricted","0 percent impaired, ltd, res",,,,,,,,,,,,,,,,,,,,,,,,,,D,,,,,,180.0,,,,,,,,20130101,20130101.0,,N
46,   CI,10,7,"At least 1 percent but less than 20 percent impaired, limited or restricted",1 to <20 percent impaired,,,,,,,,,,,,,,,,,,,,,,,,,,D,,,,,,180.0,,,,,,,,20130101,20130101.0,,N
47,   CJ,10,7,"At least 20 percent but less than 40 percent impaired, limited or restricted",20 to <40 percent impaired,,,,,,,,,,,,,,,,,,,,,,,,,,D,,,,,,180.0,,,,,,,,20130101,20130101.0,,N
48,   CK,10,7,"At least 40 percent but less than 60 percent impaired, limited or restricted",40 to <60 percent impaired,,,,,,,,,,,,,,,,,,,,,,,,,,D,,,,,,180.0,,,,,,,,20130101,20130101.0,,N
49,   CL,10,7,"At least 60 percent but less than 80 percent impaired, limited or restricted",60 to <80 percent impaired,,,,,,,,,,,,,,,,,,,,,,,,,,D,,,,,,180.0,,,,,,,,20130101,20130101.0,,N
50,   CM,10,7,"At least 80 percent but less than 100 percent impaired, limited or restricted",80 to <100 percent impaired,,,,,,,,,,,,,,,,,,,,,,,,,,D,,,,,,180.0,,,,,,,,20130101,20130101.0,,N
51,   CN,10,7,"100 percent impaired, limited or restricted","100 percent impaired, ltd",,,,,,,,,,,,,,,,,,,,,,,,,,D,,,,,,180.0,,,,,,,,20130101,20130101.0,,N
52,   CO,10,7,Outpatient occupational therapy services furnished in whole or in part by an occupational therapy assistant,Outpatient ot service by ota,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,20190101,20190101.0,,N
53,   CP,10,7,"Adjunctive service related to a procedure assigned to a comprehensive ambulatory payment classification (c-apc) procedure, but reported on a different claim",C-apc adjunctive service,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,20160101,20180101.0,20171231.0,N
54,   CQ,10,7,Outpatient physical therapy services furnished in whole or in part by a physical therapist assistant,Outpatient pt service by pta,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,20190101,20190101.0,,N
55,   CR,10,7,Catastrophe/disaster related,Catastrophe/disaster related,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,20050821,20050821.0,,N
56,   CS,10,7,Cost-sharing waived for specified covid-19 testing-related services that result in and order for or administration of a covid-19 test and/or used for cost-sharing waived preventive services furnished via telehealth in rural health clinics and federally qualified health centers during the covid-19 public health emergency,Cost share waiver covid-19,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,20110101,20200301.0,,N
57,   CT,10,7,Computed tomography services furnished using equipment that does not meet each of the attributes of the national electrical manufacturers association (nema) xr-29-2013 standard,Ct does not meet nema standa,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,20160101,20160101.0,,N
58,   DA,10,7,Oral health assessment by a licensed health professional other than a dentist,"Oral health assess, not dent",,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,20110101,20110101.0,,N
59,   E1,10,7,"Upper left, eyelid",Upper left eyelid,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,19950101,19990101.0,,N
60,   E2,10,7,"Lower left, eyelid",Lower left eyelid,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,19950101,19990101.0,,N
61,   E3,10,7,"Upper right, eyelid",Upper right eyelid,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,19950101,19990101.0,,N
62,   E4,10,7,"Lower right, eyelid",Lower right eyelid,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,19950101,19990101.0,,N
63,   EA,10,7,Erythropoietic stimulating agent (esa) administered to treat anemia due to anti-cancer chemotherapy,"Esa, anemia, chemo-induced",,,,,,,,,,,,,,,,,,,,,,,,,,D,,,,,,147.0,,,,,,,,20080101,20080101.0,,N
64,   EB,10,7,Erythropoietic stimulating agent (esa) administered to treat anemia due to anti-cancer radiotherapy,"Esa, anemia, radio-induced",,,,,,,,,,,,,,,,,,,,,,,,,,D,,,,,,147.0,,,,,,,,20080101,20080101.0,,N
65,   EC,10,7,Erythropoietic stimulating agent (esa) administered to treat anemia not due to anti-cancer radiotherapy or anti-cancer chemotherapy,"Esa, anemia, non-chemo/radio",,,,,,,,,,,,,,,,,,,,,,,,,,D,,,,,,147.0,,,,,,,,20080101,20080101.0,,N
66,   ED,10,7,Hematocrit level has exceeded 39% (or hemoglobin level has exceeded 13.0 g/dl) for 3 or more consecutive billing cycles immediately prior to and including the current cycle,Hct>39% or hgb>13g>=3 cycle,,,,,,,,,,,,,,,,,,,,,,,,,,D,,,,,,145.0,,,,,,,,20080101,20080101.0,,N
67,   EE,10,7,Hematocrit level has not exceeded 39% (or hemoglobin level has not exceeded 13.0 g/dl) for 3 or more consecutive billing cycles immediately prior to and including the current cycle,Hct>39% or hgb>13g<3 cycle,,,,,,,,,,,,,,,,,,,,,,,,,,D,,,,,,145.0,,,,,,,,20080101,20080101.0,,N
68,   EJ,10,7,"Subsequent claims for a defined course of therapy, e.g., epo, sodium hyaluronate, infliximab",Subsequent claim,,,,,,,,,4273.2,,,,,,,,,,,,,,,,,D,,,,,,,,,,,,,,19910101,20000101.0,,N
69,   EM,10,7,Emergency reserve supply (for esrd benefit only),Emer reserve supply (esrd),,,,,,,,,3045.7,,,,,,,,,,,,,,,,,D,,,,,,,,,,,,,,19910101,19970101.0,,N
70,   EP,10,7,Service provided as part of medicaid early periodic screening diagnosis and treatment (epsdt) program,Medicaid epsdt program svc,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,19870101,19970101.0,,N
71,   ER,10,7,"Items and services furnished by a provider-based, off-campus emergency department",Off-campus ed service,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,20190101,20190101.0,,N
72,   ET,10,7,Emergency services,Emergency services,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,19840101,20020101.0,,N
73,   EX,10,7,Expatriate beneficiary,Expatriate beneficiary,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,20150401,20150401.0,,N
74,   EY,10,7,No physician or other licensed health care provider order for this item or service,No md order for item/service,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,20030101,20030101.0,,N
75,   F1,10,7,"Left hand, second digit","Left hand, second digit",,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,19950101,19990101.0,,N
76,   F2,10,7,"Left hand, third digit","Left hand, third digit",,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,19950101,19990101.0,,N
77,   F3,10,7,"Left hand, fourth digit","Left hand, fourth digit",,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,19950101,19990101.0,,N
78,   F4,10,7,"Left hand, fifth digit","Left hand, fifth digit",,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,19950101,19990101.0,,N
79,   F5,10,7,"Right hand, thumb","Right hand, thumb",,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,19950101,19990101.0,,N
80,   F6,10,7,"Right hand, second digit","Right hand, second digit",,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,19950101,19990101.0,,N
81,   F7,10,7,"Right hand, third digit","Right hand, third digit",,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,19950101,19990101.0,,N
82,   F8,10,7,"Right hand, fourth digit","Right hand, fourth digit",,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,19950101,19990101.0,,N
83,   F9,10,7,"Right hand, fifth digit","Right hand, fifth digit",,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,19950101,19990101.0,,N
84,   FA,10,7,"Left hand, thumb","Left hand, thumb",,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,19950101,19990101.0,,N
85,   FB,10,7,"Item provided without cost to provider, supplier or practitioner, or full credit received for replaced device (examples, but not limited to, covered under warranty, replaced due to defect, free samples)",Item provided without cost,,,,,,,,,,,,,,,,,,,,,,,,,,I,,,,,,,,,,,,,,20060101,20080101.0,,N
86,   FC,10,7,Partial credit received for replaced device,"Part credit, replaced device",,,,,,,,,,,,,,,,,,,,,,,,,,D,,,,,,143.0,,,,,,,,20080101,20080101.0,,N
87,   FP,10,7,Service provided as part of family planning program,Svc part of family plan pgm,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,19870101,20050101.0,,N
88,   FQ,10,7,The service was furnished using audio-only communication technology,Audio-only service,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,20220101,20220101.0,,N
89,   FR,10,7,"The supervising practitioner was present through two-way, audio/video communication technology",Two-way a/v dir supervision,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,20220101,20220101.0,,N
90,   FS,10,7,Split (or shared) evaluation and management visit,Split or shared e/m visit,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,20220101,20220101.0,,N
91,   FT,10,7,"Unrelated evaluation and management (e/m) visit on the same day as another e/m visit or during a global procedure (preoperative, postoperative period, or on the same day as the procedure, as applicable). (report when an e/m visit is furnished within the global period but is unrelated, or when one or more additional e/m visits furnished on the same day are unrelated)","Separate, unrelated e/m",,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,20220101,20220101.0,,N
92,   FX,10,7,X-ray taken using film,X-ray taken using film,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,20170101,20170101.0,,N
93,   FY,10,7,X-ray taken using computed radiography technology/cassette-based imaging,Computed radiography x-ray,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,20180101,20180101.0,,N
94,   G0,10,7,"Telehealth services for diagnosis, evaluation, or treatment, of symptoms of an acute stroke",Telestroke,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,20190101,20190101.0,,N
95,   G1,10,7,Most recent urr reading of less than 60,Urr reading of less than 60,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,19970101,19980101.0,,N
96,   G2,10,7,Most recent urr reading of 60 to 64.9,Urr reading of 60 to 64.9,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,19970101,19980101.0,,N
97,   G3,10,7,Most recent urr reading of 65 to 69.9,Urr  reading of 65 to 69.9,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,19970101,19980101.0,,N
98,   G4,10,7,Most recent urr reading of 70 to 74.9,Urr reading of 70 to 74.9,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,19970101,19970101.0,,N
99,   G5,10,7,Most recent urr reading of 75 or greater,Urr reading of 75 or greater,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,19970101,19980101.0,,N
100,   G6,10,7,Esrd patient for whom less than six dialysis sessions have been provided in a month,Esrd patient <6 dialysis/mth,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,19980501,19980501.0,,N
101,   G7,10,7,Pregnancy resulted from rape or incest or pregnancy certified by physician as life threatening,Payment limits do not apply,,,,,,35-99,,,2005.1,,,,,,,,,,,,,,,,,D,,,,,,84.0,,,,,,,,19990701,19990701.0,,N
102,   G8,10,7,"Monitored anesthesia care (mac) for deep complex, complicated, or markedly invasive surgical procedure",Monitored anesthesia care,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,83.0,,,,,,,,19990701,19990701.0,,N
103,   G9,10,7,Monitored anesthesia care for patient who has history of severe cardio-pulmonary condition,Mac for at risk patient,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,19990701,19990701.0,,N
104,   GA,10,7,"Waiver of liability statement issued as required by payer policy, individual case",Liability waiver ind case,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,19950101,20110101.0,,N
105,   GB,10,7,Claim being re-submitted for payment because it is no longer covered under a global payment demonstration,Claim resubmitted,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,20020101,20020101.0,,N
106,   GC,10,7,This service has been performed in part by a resident under the direction of a teaching physician,Resident/teaching phys serv,,,,,,,,,3350.5,4116,,,,,,,,,,,,,,,,D,,,,,,,,,,,,,,19970101,20010101.0,,N
107,   GD,10,7,Units of service exceeds medically unlikely edit value and represents reasonable and necessary services,Unit of service > mue value,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,20080101,20200101.0,20191231.0,N
108,   GE,10,7,This service has been performed by a resident without the presence of a teaching physician under the primary care exception,Resident prim care exception,,,,,,,,,4116,,,,,,,,,,,,,,,,,D,,,,,,,,,,,,,,19970101,19970101.0,,N
109,   GF,10,7,"Non-physician (e.g. nurse practitioner (np), certified registered nurse anesthetist (crna), certified registered nurse (crn), clinical nurse specialist (cns), physician assistant (pa)) services in a critical access hospital",Nonphysician serv c a hosp,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,20030401,20030401.0,,N
110,   GG,10,7,"Performance and payment of a screening mammogram and diagnostic mammogram on the same patient, same day",Payment screen mam + diagmam,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,20020101,20020101.0,,N
111,   GH,10,7,Diagnostic mammogram converted from screening mammogram on same day,Diag mammo to screening mamo,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,19981001,19981001.0,,N
112,   GJ,10,7,"""opt out"" physician or practitioner emergency or urgent service",Opt out provider of er srvc,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,19981001,19981001.0,,N
113,   GK,10,7,Reasonable and necessary item/service associated with a ga or gz modifier,Actual item/service ordered,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,20020101,20080101.0,,N
114,   GL,10,7,"Medically unnecessary upgrade provided instead of non-upgraded item, no charge, no advance beneficiary notice (abn)","Upgraded item, no charge",,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,20020101,20080101.0,,N
115,   GM,10,7,Multiple patients on one ambulance trip,Multiple transports,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,20020101,20020101.0,,N
116,   GN,10,7,Services delivered under an outpatient speech language pathology plan of care,Op speech language service,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,19990101,20030101.0,,N
117,   GO,10,7,Services delivered under an outpatient occupational therapy plan of care,Op occupational therapy serv,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,19990101,20030101.0,,N
118,   GP,10,7,Services delivered under an outpatient physical therapy plan of care,Op pt services,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,19990101,20030101.0,,N
119,   GQ,10,7,Via asynchronous telecommunications system,Telehealth store and forward,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,20011001,20011001.0,,N
120,   GR,10,7,"This service was performed in whole or in part by a resident in a department of veterans affairs medical center or clinic, supervised in accordance with va policy",Service by va resident,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,20060101,20060101.0,,N
121,   GS,10,7,Dosage of erythropoietin stimulating agent has been reduced and maintained in response to hematocrit or hemoglobin level,Epo/darbepoietin reduced 25%,,,,,,,,,4273.1,,,,,,,,,,,,,,,,,D,,,,,,,,,,,,,,20060101,20130101.0,,N
122,   GT,10,7,Via interactive audio and video telecommunication systems,Interactivetelecommunication,,,,,,,,,,,,,,,,,,,,,,,,,,D,,,,,,73.0,,,,,,,,19990101,19990101.0,,N
123,   GU,10,7,"Waiver of liability statement issued as required by payer policy, routine notice",Liability waiver rout notice,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,20110101,20110101.0,,N
124,   GV,10,7,Attending physician not employed or paid under arrangement by the patient's hospice provider,Attending phys not hospice,,,,,,,,,4175-5,,,,,,,,,,,,,,,,,D,,,,,,,,,,,,,,20020101,20020101.0,,N
125,   GW,10,7,Service not related to the hospice patient's terminal condition,Service unrelated to term co,,,,,,,,,4175-5,,,,,,,,,,,,,,,,,D,,,,,,,,,,,,,,20020101,20020101.0,,N
126,   GX,10,7,"Notice of liability issued, voluntary under payer policy",Voluntary liability notice,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,20100401,20100401.0,,N
127,   GY,10,7,"Item or service statutorily excluded, does not meet the definition of any medicare benefit or, for non-medicare insurers, is not a contract benefit",Statutorily excluded,,,,,,,,,,,,,,,,,,,,,,,,,,S,,,,,,,,,,,,,,20020101,20070701.0,,N
128,   GZ,10,7,Item or service expected to be denied as not reasonable and necessary,Not reasonable and necessary,,,,,,,,,2000,,,,,,,,,,,,,,,,,M,,,,,,,,,,,,,,20020101,20020101.0,,N
129,   H9,10,7,Court-ordered,Court-ordered,,,,,,,,,,,,,,,,,,,,,,,,,,I,,,,,,,,,,,,,,20030101,20030101.0,,N
130,   HA,10,7,Child/adolescent program,Child/adolescent program,,,,,,,,,,,,,,,,,,,,,,,,,,I,,,,,,,,,,,,,,20030101,20030101.0,,N
131,   HB,10,7,"Adult program, non geriatric",Adult program non-geriatric,,,,,,,,,,,,,,,,,,,,,,,,,,I,,,,,,,,,,,,,,20030101,20030101.0,,N
